2020-06-09 07:00:04 status unpacked libisl19:amd64 0.20-2
2020-06-09 07:00:04 install libmpfr6:amd64 <none> 4.0.2-1
2020-06-09 07:00:04 status half-installed libmpfr6:amd64 4.0.2-1
2020-06-09 07:00:04 status unpacked libmpfr6:amd64 4.0.2-1
2020-06-09 07:00:04 install libmpc3:amd64 <none> 1.1.0-1
2020-06-09 07:00:04 status half-installed libmpc3:amd64 1.1.0-1
2020-06-09 07:00:04 status unpacked libmpc3:amd64 1.1.0-1
2020-06-09 07:00:04 install cpp-8:amd64 <none> 8.3.0-6
2020-06-09 07:00:04 status half-installed cpp-8:amd64 8.3.0-6
2020-06-09 07:00:05 status unpacked cpp-8:amd64 8.3.0-6
2020-06-09 07:00:05 install cpp:amd64 <none> 4:8.3.0-1
2020-06-09 07:00:05 status half-installed cpp:amd64 4:8.3.0-1
2020-06-09 07:00:05 status unpacked cpp:amd64 4:8.3.0-1
2020-06-09 07:00:05 install libassuan0:amd64 <none> 2.5.2-1
2020-06-09 07:00:05 status half-installed libassuan0:amd64 2.5.2-1
2020-06-09 07:00:05 status unpacked libassuan0:amd64 2.5.2-1
2020-06-09 07:00:05 install libreadline7:amd64 <none> 7.0-5
2020-06-09 07:00:05 status half-installed libreadline7:amd64 7.0-5
2020-06-09 07:00:05 status unpacked libreadline7:amd64 7.0-5
2020-06-09 07:00:05 install gpgconf:amd64 <none> 2.2.12-1+deb10u1
2020-06-09 07:00:05 status half-installed gpgconf:amd64 2.2.12-1+deb10u1
2020-06-09 07:00:05 status unpacked gpgconf:amd64 2.2.12-1+deb10u1
2020-06-09 07:00:05 install lsb-base:all <none> 10.2019051400
2020-06-09 07:00:05 status half-installed lsb-base:all 10.2019051400
2020-06-09 07:00:05 status unpacked lsb-base:all 10.2019051400
2020-06-09 07:00:05 install libksba8:amd64 <none> 1.3.5-2
2020-06-09 07:00:05 status half-installed libksba8:amd64 1.3.5-2
2020-06-09 07:00:05 status unpacked libksba8:amd64 1.3.5-2
2020-06-09 07:00:05 install libnpth0:amd64 <none> 1.6-1
2020-06-09 07:00:05 status half-installed libnpth0:amd64 1.6-1
2020-06-09 07:00:05 status unpacked libnpth0:amd64 1.6-1
2020-06-09 07:00:05 install dirmngr:amd64 <none> 2.2.12-1+deb10u1
2020-06-09 07:00:05 status half-installed dirmngr:amd64 2.2.12-1+deb10u1
2020-06-09 07:00:05 status unpacked dirmngr:amd64 2.2.12-1+deb10u1
2020-06-09 07:00:06 install libdpkg-perl:all <none> 1.19.7
2020-06-09 07:00:06 status half-installed libdpkg-perl:all 1.19.7
2020-06-09 07:00:06 status unpacked libdpkg-perl:all 1.19.7
2020-06-09 07:00:06 install patch:amd64 <none> 2.7.6-3+deb10u1
2020-06-09 07:00:06 status half-installed patch:amd64 2.7.6-3+deb10u1
2020-06-09 07:00:06 status unpacked patch:amd64 2.7.6-3+deb10u1
2020-06-09 07:00:06 install make:amd64 <none> 4.2.1-1.2
2020-06-09 07:00:06 status half-installed make:amd64 4.2.1-1.2
2020-06-09 07:00:06 status unpacked make:amd64 4.2.1-1.2
2020-06-09 07:00:06 install dpkg-dev:all <none> 1.19.7
2020-06-09 07:00:06 status half-installed dpkg-dev:all 1.19.7
2020-06-09 07:00:06 status unpacked dpkg-dev:all 1.19.7
2020-06-09 07:00:06 install libcc1-0:amd64 <none> 8.3.0-6
2020-06-09 07:00:06 status half-installed libcc1-0:amd64 8.3.0-6
2020-06-09 07:00:06 status unpacked libcc1-0:amd64 8.3.0-6
2020-06-09 07:00:06 install libgomp1:amd64 <none> 8.3.0-6
2020-06-09 07:00:06 status half-installed libgomp1:amd64 8.3.0-6
2020-06-09 07:00:06 status unpacked libgomp1:amd64 8.3.0-6
2020-06-09 07:00:06 install libitm1:amd64 <none> 8.3.0-6
2020-06-09 07:00:06 status half-installed libitm1:amd64 8.3.0-6
2020-06-09 07:00:06 status unpacked libitm1:amd64 8.3.0-6
2020-06-09 07:00:06 install libatomic1:amd64 <none> 8.3.0-6
2020-06-09 07:00:06 status half-installed libatomic1:amd64 8.3.0-6
2020-06-09 07:00:06 status unpacked libatomic1:amd64 8.3.0-6
2020-06-09 07:00:06 install libasan5:amd64 <none> 8.3.0-6
2020-06-09 07:00:06 status half-installed libasan5:amd64 8.3.0-6
2020-06-09 07:00:06 status unpacked libasan5:amd64 8.3.0-6
2020-06-09 07:00:06 install liblsan0:amd64 <none> 8.3.0-6
2020-06-09 07:00:06 status half-installed liblsan0:amd64 8.3.0-6
2020-06-09 07:00:06 status unpacked liblsan0:amd64 8.3.0-6
2020-06-09 07:00:06 install libtsan0:amd64 <none> 8.3.0-6
2020-06-09 07:00:06 status half-installed libtsan0:amd64 8.3.0-6
2020-06-09 07:00:06 status unpacked libtsan0:amd64 8.3.0-6
2020-06-09 07:00:06 install libubsan1:amd64 <none> 8.3.0-6
2020-06-09 07:00:06 status half-installed libubsan1:amd64 8.3.0-6
2020-06-09 07:00:06 status unpacked libubsan1:amd64 8.3.0-6
2020-06-09 07:00:06 install libmpx2:amd64 <none> 8.3.0-6
2020-06-09 07:00:06 status half-installed libmpx2:amd64 8.3.0-6
2020-06-09 07:00:06 status unpacked libmpx2:amd64 8.3.0-6
2020-06-09 07:00:06 install libquadmath0:amd64 <none> 8.3.0-6
2020-06-09 07:00:06 status half-installed libquadmath0:amd64 8.3.0-6
2020-06-09 07:00:06 status unpacked libquadmath0:amd64 8.3.0-6
2020-06-09 07:00:06 install libgcc-8-dev:amd64 <none> 8.3.0-6
